sponsor,sponsor_image_path,site_link
Azul Systems,/assets/img/sponsors/azul-2.jpg,https://www.azul.com/
BellSoft,https://res.cloudinary.com/connectjs/image/upload/v1675100522/bellsoft-01_vdfvav.png,https://bell-sw.com/
CircleCI,https://res.cloudinary.com/connectjs/image/upload/v1674921149/circleci-01_wcqswh.png,https://circleci.com/
Cockroach Labs,https://res.cloudinary.com/connectjs/image/upload/v1674572099/cockroach-01_umofbp.png,https://www.cockroachlabs.com/
Couchbase,/assets/img/sponsors/Couchbase.png,https://www.couchbase.com/
CodeSee,https://res.cloudinary.com/connectjs/image/upload/v1677174489/codesee-01_awxpug.png,https://www.codesee.io/
Datadog,/assets/img/sponsors/DATADOG.jpeg,https://www.datadoghq.com/
Google,/assets/img/sponsors/googlecloud.jpg,https://cloud.google.com/developers/devnexus
Google Wallet,/assets/img/sponsors/google-wallet-2.jpg,https://wallet.google/
IBM,/assets/img/sponsors/IBM.001.jpeg,https://www.ibm.com/
intel,https://res.cloudinary.com/connectjs/image/upload/v1673993613/intel_z3jcu7.jpg,https://www.intel.com/content/www/us/en/homepage.html
ICE,/assets/img/sponsors/ice-01.png,https://www.theice.com/careers
JFrog,/assets/img/sponsors/jfrog.jpeg,https://jfrog.com/
Keyfactor,https://res.cloudinary.com/connectjs/image/upload/v1673993882/keyfactor-01_c0xmzb.png,https://www.keyfactor.com/
LaunchDarkly,https://res.cloudinary.com/connectjs/image/upload/v1675197403/launchdarkly-01_nm57k7.png,https://launchdarkly.com/
Ledgent,https://res.cloudinary.com/connectjs/image/upload/v1673993882/ledgent-01_npczg1.png,https://www.ledgenttech.com/
MicroStream,https://res.cloudinary.com/connectjs/image/upload/v1674571562/microsteam-01_esilhz.png,https://microstream.one/
RedHat,/assets/img/sponsors/Red Hat2.001.png,https://developers.redhat.com/
RingCentral,/assets/img/sponsors/ringcentral.jpg,https://developers.ringcentral.com/
sonar,https://raw.githubusercontent.com/devnexus/ajug_website/master/assets/img/sponsors/bob.jpg,https://www.sonarsource.com/?utm_source=devnexus&utm_medium=event&utm_campaign=java&utm_content=devnexus_ss
Suse,/assets/img/sponsors/suse-01.png,https://www.suse.com/
Vaadin,https://res.cloudinary.com/connectjs/image/upload/v1673993882/vaadin-01_iximd0.png,https://vaadin.com/
VMware,https://res.cloudinary.com/connectjs/image/upload/v1675272690/vmware-01_prokpg.png,https://tanzu.vmware.com/